rider_name,rider_url,Omloop Nieuwsblad,Kuurne-Brussel-Kuurne,Samyn Classic,Strade Bianche,Nokere Koerse,Bredene Koksijde Classic,Milaan-Sanremo,Ronde van Brugge,E3 Saxo Classic,In Flanders Fields,Dwars door Vlaanderen,Ronde van Vlaanderen,Scheldeprijs,Parijs-Roubaix,Ronde van Limburg,Brabantse Pijl,Amstel Gold Race,Waalse Pijl,Luik-Bastenaken-Luik,races_count
CHAMBERLAIN Oscar,rider/oscar-chamberlain,,,,,,,,,X,,X,X,,,,,,,,3/19
CHAMPOUSSIN Clément,rider/clement-champoussin,,,,X,,,,,,,,,,,,,X,X,X,4/19
CHARRET Camille,rider/camille-charret,,,,,X,X,,X,,X,X,X,,,,,,,,6/19
CHRISTEN Fabio,rider/fabio-christen,,,,,,,,,,,,X,,,,,,,,1/19
CHRISTEN Jan,rider/jan-christen,,,,X,,,X,,,,,,,,,,,,,2/19
CHRISTIAN Sean,rider/sean-christian,,X,X,,X,,,,,,,,,X,,,,,,4/19
CHRISTOPHERSEN Cedrik Bakke,rider/cedrik-bakke-christophersen,,,,X,,,,,,,,,,,,,,,,1/19
CICCONE Giulio,rider/giulio-ciccone,,,,,,,X,,,,,,,,,,X,X,X,4/19
CLAEYS Robbe,rider/robbe-claeys,,,X,,,X,,,,,,,,,,,,,,2/19
COLNAGHI Luca,rider/luca-colnaghi,,,,,,,X,,,,,,,,,,,,,1/19
CONCA Filippo,rider/filippo-conca,,,,X,,,,,,,,,,,,,,,,1/19
CONFORTI Lorenzo,rider/lorenzo-conforti,,,,,,,X,,,,,,,,,,,,,1/19
COPPENS Michiel,rider/michiel-coppens,,,X,,,X,,,,,,,,,,,,,,2/19
COQUARD Bryan,rider/bryan-coquard,,,,,,,X,,,,,,,,,X,X,,,3/19
CORKERY Dillon,rider/dillon-corkery,,,,,,,,,X,,X,X,,,,,,,,3/19
CORT Magnus,rider/magnus-cort-nielsen,,,,,,,X,,,,,,,,,,,,X,2/19
COSNEFROY Benoît,rider/benoit-cosnefroy,,,,,,,,,,,,,,,,X,X,X,X,4/19
COSTIOU Ewen,rider/ewen-costiou,,,,,,,,,,,,,,,,,X,X,X,3/19
COVI Alessandro,rider/alessandro-covi,,,,X,,,X,,,,,,,,,,X,X,X,5/19
CRABBE Tom,rider/tom-crabbe,,X,,,X,X,,X,,X,X,,X,,,,,,,7/19
CRETTI Luca,rider/luca-cretti,,,,X,,,,,,,,,,,,,,,,1/19
CROCKETT Finn,rider/finn-crockett,,,X,,,X,,,,,,,,,,,,,,2/19
CÔTÉ Pier-André,rider/pier-andre-cote,,,,X,,,X,,,,,,,,,,,,,2/19
DAINESE Alberto,rider/alberto-dainese,,,,,X,X,,,,,,,,,,,,,,2/19
DARBELLAY Valentin,rider/valentin-darbellay,,,X,,,,,,,,,,,,,,,,,1/19
DARDER Sergi,rider/sergi-darder,,,,,X,X,,,,,,,,,,,,,,2/19
DAUPHIN Florian,rider/florian-dauphin,,X,X,,,,,,,X,X,X,,,,,,,,5/19
DE BONDT Dries,rider/dries-de-bondt,X,X,,X,,X,,,X,X,X,X,,X,X,,,,,10/19
DE BUYST Jasper,rider/jasper-de-buyst,,,,,,,,,,X,,,,,,,,,,1/19
DE CEUSTER Milan,rider/milan-de-ceuster,,,,,X,,,,,,,,,,,,,,,1/19
DE DOBBELAERE Born,rider/born-de-dobbelaere,,,X,,,,,,,,,,,,,,,,,1/19
DE GENDT Aimé,rider/aime-de-gendt,X,X,,,X,X,,,X,X,X,X,,,,,,,,8/19
DE JONG Timo,rider/timo-de-jong,X,X,,,,,,,X,,X,X,,,,,,,,5/19
DE LA CALLE Hugo,rider/hugo-de-la-calle-arango,,,,,,,,,X,X,X,X,,,,,,,,4/19
DE LIE Arnaud,rider/arnaud-de-lie,X,X,,,,,,X,,X,X,X,,X,,,,,,7/19
DE PESTEL Sander,rider/sander-de-pestel,X,X,,,,,,,X,,X,X,,,,,,,,5/19
DE POOTER Dries,rider/dries-de-pooter,X,,,,X,X,,,X,X,X,X,,,,,,,,7/19
DE PRETTO Davide,rider/davide-de-pretto,,,,X,,,,,,,,,,,,,,,,1/19
DE SCHUYTENEER Steffen,rider/steffen-de-schuyteneer,,X,X,,X,X,,,,,X,,X,,,,,,,6/19
DE VRIES Hartthijs,rider/hartthijs-de-vries,,X,X,,X,,X,,X,X,X,X,,,,,,,,8/19
DEBEAUMARCHÉ Nicolas,rider/nicolas-debeaumarche,,,,,,X,,,,,X,,,,,,,,,2/19
DEGENKOLB John,rider/john-degenkolb,X,X,,,,,X,,,X,X,,,X,,,,,,6/19
DEHAIRS Simon,rider/simon-dehairs,,,X,,,,,X,,,,,,,,,,,,2/19
DEKKER David,rider/david-dekker,,,X,,,X,,,,,,,,,,,,,,2/19
DEL GROSSO Tibor,rider/tibor-del-grosso,,,,X,,,,,X,,X,,,,X,X,X,,,6/19
DEL TORO Isaac,rider/isaac-del-toro,,,,X,,,X,,,,,,,,,,,X,X,4/19
DELACROIX Théo,rider/theo-delacroix,,,X,,,,,,,,,,,,,,,,,1/19
DELETTRE Alexandre,rider/alexandre-delettre,,,,,,,,,,,,,,,,,,X,X,2/19
