rider_name,rider_url,Omloop Nieuwsblad,Kuurne-Brussel-Kuurne,Samyn Classic,Strade Bianche,Nokere Koerse,Bredene Koksijde Classic,Milaan-Sanremo,Ronde van Brugge,E3 Saxo Classic,In Flanders Fields,Dwars door Vlaanderen,Ronde van Vlaanderen,Scheldeprijs,Parijs-Roubaix,Ronde van Limburg,Brabantse Pijl,Amstel Gold Race,Waalse Pijl,Luik-Bastenaken-Luik,races_count
SYRITSA Gleb,rider/gleb-syritsa,,X,,,X,,X,,,X,X,,,,,,,,,5/19
SÉNÉCHAL Florian,rider/florian-senechal,X,,X,,X,,,X,,X,X,X,,X,,,,,,8/19
SÖDERQVIST Jakob,rider/jakob-soderqvist,,X,,,,,,,X,X,X,X,,X,,,,,,6/19
SÜTTERLIN Jasha,rider/jasha-sutterlin,,,,,,,X,,X,,,,,,,,,,,2/19
TAILLIEU Aldo,rider/aldo-taillieu,,,X,,,,,,,,,,,,,,,,,1/19
TAMINIAUX Lionel,rider/lionel-taminiaux,,,,,X,X,,,,,,,,,,,,,,2/19
TARLING Joshua,rider/joshua-tarling,,,,,,,X,,X,X,,X,,X,,,,,,5/19
TAROZZI Manuele,rider/manuele-tarozzi,,,,,,,X,,,,,,,,,,,,,1/19
TENDON Arnaud,rider/arnaud-tendon,,,X,,,,,,,,,,,,,,,,,1/19
TENE Rotem,rider/rotem-tene,,,,,X,X,,,,,,,,,,,,,,2/19
TESFATSION Natnael,rider/natnael-tesfatsion,,,,,,,X,,,,,,,,,,,,,1/19
TESSON Jason,rider/jason-tesson,,,X,,X,X,,,,,,,,,,,,,,3/19
TEUNISSEN Mike,rider/mike-teunissen,X,X,,,,,X,,X,X,,X,,X,,,,,,7/19
TEUNS Dylan,rider/dylan-teuns,X,,X,,,,,,,X,,X,,,,X,X,X,X,8/19
TEUTENBERG Tim Torn,rider/tim-torn-teutenberg,X,,,,X,X,,,,,,X,,,,,,,,4/19
THALMANN Roland,rider/roland-thalmann,,,,X,,,,,,,,,,,,,,,,1/19
THEUNS Edward,rider/edward-theuns,X,X,,,,X,,,,X,X,X,,,,,,,,6/19
THIERRY Pierre,rider/pierre-thierry,,X,X,,X,,,,,,,,,,,,,,,3/19
THIJSSEN Gerben,rider/gerben-thijssen,,,X,,X,X,,,,,,,,,,,,,,3/19
THOMAS Benjamin,rider/benjamin-thomas-2,,,,,,,X,,,,,,,,,,,,,1/19
THOMPSON Reuben,rider/reuben-thompson,,,,X,,,,,,,,,,,,,,,,1/19
THONNON Senne,rider/senne-thonnon,,,X,,,,,,X,,,,,,,,,,,2/19
THORNLEY Callum,rider/callum-thornley,,,,,,,,,,X,X,X,,,,,,,,3/19
THÉOT Killian,rider/killian-theot,,,X,,,,,,,,,,,,,,,,,1/19
TILLER Rasmus,rider/rasmus-tiller,X,X,,,,,,,X,X,,X,,,,,,,,5/19
TOLIO Alex,rider/alex-tolio,,,,X,,,,,,,,,,,,,,,,1/19
TONEATTI Davide,rider/davide-toneatti,,,,X,,,,,,,X,,,,,,,,,2/19
TORNEY Artuur,rider/artuur-torney,,X,X,,,X,,X,,,X,,,,,,,,,5/19
TORRES Albert,rider/albert-torres,,,,X,,,,,,,X,X,,,,,,,,3/19
TOWNSEND Rory,rider/rory-townsend,,X,,,,,,,,,,,,,,,,,,1/19
TRATNIK Jan,rider/jan-tratnik,,,,,,,,,X,,X,X,,,,,X,,X,5/19
TRENTIN Matteo,rider/matteo-trentin,X,X,,,,,X,,X,X,,X,,,,,,,,6/19
TRONCHON Bastien,rider/bastien-tronchon,X,X,,,X,,X,,X,X,X,X,,X,,,,,,9/19
TULETT Ben,rider/ben-tulett,,,,,,,,,,,,,,,,,X,X,X,3/19
TURCONI Filippo,rider/filippo-turconi,,,,X,,,X,,,,,,,,,,,,,2/19
TURGIS Anthony,rider/anthony-turgis,X,,,,,,,,X,X,X,X,,,,,,,,5/19
TURNER Ben,rider/ben-turner,X,,,,,,X,,X,X,X,X,,,,,,,,6/19
UHLIG Henri,rider/henri-uhlig,,,,,,X,,,,,,,,,,,,,,1/19
UIJTDEBROEKS Cian,rider/cian-uijtdebroeks,,,,,,,,,,,,,,,,,,X,X,2/19
ULISSI Diego,rider/diego-ulissi,,,,,,,,,,,,,,,,,X,X,X,3/19
UPTEGROVE Ed,rider/ed-uptegrove,,,X,,,,,,,,,,,,,,,,,1/19
URIANSTAD BUGGE Martin,rider/martin-urianstad,,,,,X,X,,,,,,,,,,,,,,2/19
VACEK Mathias,rider/mathias-vacek,X,,,,,,X,,X,X,,X,,X,,,,,,6/19
VADER Milan,rider/milan-vader,,,,X,,,,,,,,,,,,,,,,1/19
VADIC Baptiste,rider/baptiste-vadic,X,X,X,,X,X,,,X,,,,,,,,,,,6/19
VALGREN Michael,rider/michael-valgren-andersen,,,,X,,,X,,X,X,,X,,X,,,,,,6/19
VALTER Attila,rider/attila-valter,X,,,X,,,,,X,,,X,,,,,,,,4/19
VAN AERT Wout,rider/wout-van-aert,,,X,X,,,X,,,X,X,X,,X,,,,,,7/19
VAN ASBROECK Tom,rider/tom-van-asbroeck,X,,X,,,X,,,X,X,X,X,,,,,,,,7/19
VAN BAARLE Dylan,rider/dylan-van-baarle,X,X,,,,,,,X,,X,X,,X,,,,,,6/19
VAN BEKKUM Darren,rider/darren-van-bekkum,,,,,,,,,,,,,,,,,X,,,1/19
VAN BELLE Loe,rider/loe-van-belle,,,X,,,,,,,,,,,,,,,,,1/19
VAN BOVEN Luca,rider/luca-van-boven,X,X,,,,,X,,X,X,,,,,,,X,,,6/19
VAN DEN BERG Julius,rider/julius-van-den-berg,X,,X,,,,,,,X,,X,,,,,,,,4/19
VAN DEN BERG Marijn,rider/marijn-van-den-berg,X,X,,,,,,,X,X,,X,,X,,,X,,,7/19
VAN DEN BOER Seppe,rider/seppe-van-den-boer,,,,,X,,,,,,,,,,,,,,,1/19
VAN DEN BOSSCHE Fabio,rider/fabio-van-den-bossche,,,,,,,X,,,,,,,,,,,,,1/19
VAN DEN BROEK Axel,rider/axel-van-den-broek1,,,X,,,,,,,,,,,,,,,,,1/19
VAN DEN BROEK Frank,rider/frank-van-den-broek,X,,,,,,X,,X,,X,X,,,,,X,X,,7/19
VAN DEN HAUTE Milan,rider/milan-van-den-haute,,,X,,,X,,X,,,X,,,,,,,,,4/19
VAN DER POEL Mathieu,rider/mathieu-van-der-poel,X,,,,,,X,,X,X,,X,,X,,,,,,6/19
VAN DER WAL Rik,rider/rik-van-der-wal,,,X,,,,,,,,,,,,,,,,,1/19
VAN DER WERFF Thom,rider/thom-van-der-werff,,,,,X,X,,,,,,,,,,,,,,2/19
VAN DIJKE Mick,rider/mick-van-dijke,X,X,,,,,,,X,X,X,X,,X,,,,,,7/19
VAN DIJKE Tim,rider/tim-van-dijke,X,X,,,,,,,X,X,X,X,,X,,,,,,7/19
VAN EETVELT Lennert,rider/lennert-van-eetvelt,,,,X,,,,,,,,,,,,,,X,X,3/19
VAN GESTEL Dries,rider/dries-van-gestel,X,X,,,,,,,X,,X,X,,,,,,,,5/19
VAN GILS Maxim,rider/maxim-van-gils,,,,,,,,,,,,,,,,,X,X,X,3/19
VAN HAUTEGEM Leander,rider/leander-van-hautegem,,X,,,,,,,,X,,X,,,,,,,,3/19
VAN HEMELEN Vincent,rider/vincent-van-hemelen,X,,,,X,,,,X,,,X,,,,,,,,4/19
VAN KERCKHOVE Matisse,rider/matisse-van-kerckhove,,X,X,,,,,,,,,,,,,,,,,2/19
VAN LERBERGHE Bert,rider/bert-van-lerberghe,,X,X,,,,,,,X,,,,,,,,,,3/19
VAN MECHELEN Vlad,rider/vlad-van-mechelen,X,,,,,,,,,X,X,X,,,,,,,,4/19
VAN MOER Brent,rider/brent-van-moer,X,X,,X,,,X,,X,X,X,X,,,,,,,,8/19
VAN NIEKERK Morné,rider/morne-van-niekerk,,,X,,,,,,,,,,,,,,,,,1/19
VAN PETEGEM Axandre,rider/axandre-van-petegem,,,X,,,,,,,,,,,,,,,,,1/19
VAN POPPEL Danny,rider/danny-van-poppel,,,X,,,,X,,,,,,,,,,X,,,3/19
VAN REES Christiaan,rider/christiaan-van-rees,,,,,,X,,,,,,,,,,,,,,1/19
VAN SINTMAARTENSDIJK Daan,rider/daan-van-sintmaartensdijk,,,X,,,X,,,,,,,,,,,,,,2/19
VAN SINTMAARTENSDIJK Roel,rider/roel-van-sintmaartensdijk,X,,X,,X,X,,,X,,,,,,,,,,,5/19
VAN TRICHT Floris,rider/floris-van-tricht,,,X,X,X,X,,,X,,,,,,,,,,,5/19
VAN TRICHT Stan,rider/stan-van-tricht,,,X,,X,X,,,,,,,,,,,,,,3/19
VAN UDEN Casper,rider/casper-van-uden,,,,,X,,,,,,,,,,,,,,,1/19
VAN WILDER Ilan,rider/ilan-van-wilder,,,,,,,,,,,,,,,,,X,X,X,3/19
VANDENBRANDEN Noah,rider/noah-vandenbranden,,,X,,,X,,X,,,X,,,,,,,,,4/19
VANDENSTORME Dylan,rider/dylan-vandenstorme,X,,,,X,,,,X,,,X,,,,,,,,4/19
VANGHELUWE Warre,rider/warre-vangheluwe,,,X,,X,X,,,,,,,,,,,,,,3/19
VANHOOF Ward,rider/ward-vanhoof,X,,X,,,,,,,X,,X,,,,,,,,4/19
VANSEVENANT Mauri,rider/mauri-vansevenant,,,,X,,,,,,,,,,,,,,,,1/19
VEISTROFFER Baptiste,rider/baptiste-veistroffer,,,,,X,,,,,,,,,,,,,,,1/19
VELASCO Simone,rider/simone-velasco,,,,X,,,,,,,,,,,,,,,,1/19
VENDRAME Andrea,rider/andrea-vendrame,,,,X,,,X,,,,,,,,,,X,,,3/19
VENTURINI Clément,rider/clement-venturini,,,,X,,,X,,,,,,,,,X,X,X,,5/19
VERBRUGGHE Jens,rider/jens-verbrugghe,,,X,,X,,,,,,,,,,,,,,,2/19
VERCOUILLIE Victor,rider/victor-vercouillie,X,,,,,X,,,,X,,X,,,,,,,,4/19
VERGAERDE Otto,rider/otto-vergaerde,X,,,,X,X,,,X,,,,,,,,,,,4/19
VERMAERKE Kevin,rider/kevin-vermaerke,,,,X,,,,,,,,,,,,,,,,1/19
VERMEERSCH Florian,rider/florian-vermeersch,X,X,,X,,,X,X,X,X,X,X,,X,,,,,,10/19
VERMEERSCH Gianni,rider/gianni-vermeersch,X,,X,X,X,,,,X,X,,X,,X,,,,,,8/19
VERMOOTE Jelle,rider/jelle-vermoote,,,X,,X,X,,,,,,,,,,,,,,3/19
VERRANDO Luca,rider/luca-verrando,,,,X,,,,,,,,,,,,,,,,1/19
VERRE Alessandro,rider/alessandro-verre,,,,X,,,,,,,,,,,,,,,,1/19
VERSTRYNGE Emiel,rider/emiel-verstrynge,,,,X,,,X,,,,,,,,,,X,,X,4/19
VERVAEKE Louis,rider/louis-vervaeke,,,,X,,,,,X,,X,,,,,,,,,3/19
VERVENNE Jonathan,rider/jonathan-vervenne,X,,,,X,X,,,X,,,,,,,,,,,4/19
VILLAR Iker,rider/iker-villar,,,,,X,X,,,,,,,,,,,,,,2/19
VINOKUROV Nicolas,rider/nicolas-vinokurov,,,,,,,X,,,,,,,,,,,,,1/19
VISSER Guillaume,rider/guillaume-visser,,,X,,,,,,,,,,,,,,,,,1/19
VOISARD Yannis,rider/yannis-voisard,,,,X,,,,,,,,,,,,,,,,1/19
WALSCHEID Max,rider/max-walscheid,,X,,,X,X,,,,,,,,,,,,,,3/19
WANG Gustav,rider/gustav-wang,,,,,X,X,,,,,,,,,,,,,,2/19
WARBASSE Larry,rider/lawrence-warbasse,,,,X,,,,,,,,,,,,,,,,1/19
WATSON Samuel,rider/samuel-watson,X,,,,,,,,X,X,X,X,,,,,,,,5/19
WATTS Kiaan,rider/kiaan-watts,,,X,,X,,,,,,,,,,,,,,,2/19
WEISS Fabian,rider/fabian-weiss,,,,X,,,,,,,,,,,,,,,,1/19
WELLENS Tim,rider/tim-wellens,X,X,,,,,,,X,,X,,,,,X,X,,,6/19
WELSFORD Sam,rider/sam-welsford,,,,,,,,,,,X,X,,,,,,,,2/19
WERTZ Hugo,rider/hugo-wertz,,,X,,,,,,,,,,,,,,,,,1/19
WIDAR Jarno,rider/jarno-widar,,,,,,,,,,,,,,,,,,X,X,2/19
WIGGINS Ben,rider/ben-wiggins,,,,,X,,,,,,,,,,,,,,,1/19
WILKSCH Hannes,rider/hannes-wilksch,,,,X,,,,,,,,,,,,,,,,1/19
WIRTGEN Luc,rider/luc-wirtgen,,,,X,,,,,,,,,,,,,,,,1/19
WITHEN PHILIPSEN Albert,rider/albert-withen-philipsen,X,,,X,X,X,,,,,,X,,,,,,,,5/19
WOETS Mattanja,rider/mattanja-woets,,,X,,,,,,,,,,,,,,,,,1/19
WRIGHT Fred,rider/alfred-wright,X,X,,,,,X,,X,X,X,X,,X,,,,,,8/19
WRIGHT Paul,rider/paul-wright,,,,,X,X,,,,,,,,,,,,,,2/19
WÆRENSKJOLD Søren,rider/soren-waerenskjold,X,,,,,,X,X,,X,X,X,,X,,,,,,7/19
ZABELINSKIY Bogdan,rider/bogdan-zabelinskiy,,,X,,,,,,,,,,,,,,,,,1/19
ZAMBANINI Edoardo,rider/edoardo-zambanini,,,,X,,,X,,,,,,,,,,,,,2/19
ZAMPERINI Edoardo,rider/edoardo-zamperini,,,,,,,X,,,,X,,,,,,,,,2/19
ZANA Filippo,rider/filippo-zana,,,,X,,,,,,,,,,,,,,,,1/19
ZIJLAARD Maikel,rider/maikel-zijlaard,,,,,,,,,X,,X,,,,,,,,,2/19
ZIMMERMANN Georg,rider/georg-zimmermann,,,,,,,X,,,,,,,,,,,,,1/19
ZINGLE Axel,rider/axel-zingle,X,X,,,,,,,X,,X,X,,,,,X,,,6/19
ZOCCARATO Samuele,rider/samuele-zoccarato,,,,X,,,,,,,,,,,,,,,,1/19
ZUKOWSKY Nickolas,rider/nickolas-zukowsky,,,,,,,,,X,X,X,X,,,,,,,,4/19
ZWIEHOFF Ben,rider/ben-zwiehoff,,,,X,,,,,,,,,,,,,,,,1/19
ÁLVAREZ Héctor,rider/hector-alvarez-martinez,,X,,,,X,,,,,,,,,,,,,,2/19
ÁLVAREZ Rodrigo,rider/rodrigo-alvarez-rogriguez,,,,,,,,,X,,,,,,,,,,,1/19
ÅRNES Daniel,rider/daniel-arnes,,,X,,,,,,,,,,,,,,,,,1/19
ØRN-KRISTOFF Felix,rider/felix-orn-kristoff,,X,X,,,X,,,,,,,,,,,,,,3/19
ŤOUPALÍK Adam,rider/adam-toupalik,,,,,X,,,,X,,,,,,,,,,,2/19
